name: Xena Bradford, country: Brazil, region: Bahia 
name: Zenaida Hensley, country: Brazil, region: São Paulo 
name: Cameron Wiley, country: South Africa, region: Northern Cape 
name: Ivana Bonner, country: Brazil, region: Rio Grande do Sul 
name: Norman Farmer, country: South Africa, region: Eastern Cape 
name: Kennedy Lott, country: Brazil, region: Rio Grande do Sul 
name: Callie Gordon, country: South Africa, region: Limpopo 
name: Kiayada Clayton, country: South Africa, region: Limpopo 
name: Cassady Simon, country: South Africa, region: Northern Cape 
name: Freya Jenkins, country: Brazil, region: Santa Catarina 
name: Ann Haynes, country: Brazil, region: Bahia 
name: Sawyer Hammond, country: South Africa, region: Western Cape 
name: Laura Holloway, country: Brazil, region: Rio de Janeiro 
name: Lucian Klein, country: Brazil, region: Bahia 
name: Kermit Pacheco, country: South Africa, region: Limpopo 
name: Stacey Holman, country: South Africa, region: Eastern Cape 
name: Sacha Jacobs, country: Brazil, region: São Paulo 
name: Aurelia Dickson, country: Brazil, region: Maranhão 
name: Noble Kent, country: South Africa, region: North West 
name: Herman Puckett, country: South Africa, region: Free State 
name: Lance Benton, country: South Africa, region: Northern Cape 
name: Raymond Palmer, country: South Africa, region: Limpopo 
name: Brock Sullivan, country: Brazil, region: Ceará 
name: Caldwell Wilson, country: South Africa, region: Limpopo 
name: Carlos Molina, country: Brazil, region: São Paulo 
name: Leonard Butler, country: South Africa, region: KwaZulu-Natal 
name: Aaron Garza, country: Brazil, region: Pernambuco 
name: Brennan Osborne, country: Brazil, region: Pernambuco 
name: Baker Pruitt, country: South Africa, region: KwaZulu-Natal 
name: Gray Medina, country: Brazil, region: Rio de Janeiro 
name: Stephanie Baldwin, country: South Africa, region: Northern Cape 
name: Leigh Dalton, country: South Africa, region: Gauteng 
name: Abigail Branch, country: Brazil, region: Ceará 
name: Riley Wilson, country: Brazil, region: Paraíba 
name: Tanya Collins, country: Brazil, region: Paraná 
name: George Mitchell, country: South Africa, region: KwaZulu-Natal 
name: Iona Cameron, country: Brazil, region: Paraíba 
name: Rhona Knox, country: South Africa, region: Limpopo 
name: Castor Guthrie, country: Brazil, region: Rio de Janeiro 
name: Idola Lester, country: South Africa, region: Eastern Cape 
name: Ross Raymond, country: South Africa, region: Gauteng 
name: Xandra Spencer, country: South Africa, region: Limpopo 
name: Cruz Hardy, country: Brazil, region: Paraná 
name: Colette Maynard, country: South Africa, region: Limpopo 
name: Hamish Weeks, country: Brazil, region: Pernambuco 
name: Thomas Barlow, country: South Africa, region: Eastern Cape 
name: Herrod Rodriquez, country: South Africa, region: Limpopo 
name: Iris Hess, country: South Africa, region: Mpumalanga 
name: Abra Mercado, country: South Africa, region: Northern Cape 
name: Xander Rosales, country: South Africa, region: Gauteng 
name: Libby Harrison, country: Brazil, region: Pará 
name: Harrison Rosa, country: South Africa, region: Western Cape 
name: Kalia Blair, country: Brazil, region: Bahia 
name: Henry Greene, country: Brazil, region: São Paulo 
name: Finn Tate, country: Brazil, region: Santa Catarina 
name: Adara David, country: South Africa, region: North West 
name: Karen Howard, country: South Africa, region: Free State 
name: Lila Levine, country: Brazil, region: Pará 
name: Hilda Wheeler, country: South Africa, region: Free State 
name: Amy Head, country: South Africa, region: Limpopo 
name: Eric Marquez, country: South Africa, region: Northern Cape 
name: Dieter Waters, country: Brazil, region: Paraíba 
name: Slade Mckee, country: South Africa, region: Northern Cape 
name: Ferris Huff, country: South Africa, region: Western Cape 
name: Aiko Sanders, country: Brazil, region: Maranhão 
name: Erica Stevens, country: South Africa, region: KwaZulu-Natal 
name: Fitzgerald Wilkerson, country: Brazil, region: Santa Catarina 
name: Acton Meyer, country: Brazil, region: Santa Catarina 
name: Iona Richards, country: Brazil, region: Maranhão 
name: Darius Barton, country: Brazil, region: Paraíba 
name: Tashya Rodriquez, country: South Africa, region: Northern Cape 
name: Nehru Ayers, country: Brazil, region: Pernambuco 
name: Quentin Bartlett, country: Brazil, region: Rio Grande do Sul 
